ID,precio estimado,precio_venta,fecha,autor,casa subasta,tipo,tecnica,dimensiones,precio estimado dolares,precio venta dolares
1,"2,000 - 3,000 eur",upcoming,"oct 13, 2022",sergio larrain,finarte,photographs,vintage gelatin silver print,12.2 x 8.3 in8.3 x 8.3 in,2910.0,upcoming
2,500 - 800 eur,upcoming,"oct 13, 2022",martin chambi,finarte,photographs,vintage gelatin silver print,2.6 x 2.4 in2.2 x 2 in,776.0,upcoming
3,600 - 900 eur,upcoming,"oct 13, 2022",jorge friedmann,finarte,photographs,vintage gelatin silver print,9.4 x 7 in,873.0,upcoming
4,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.2 x 11.6 in12.4 x 9.3 in10 """,2425.0,upcoming
5,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.5 x 11.6 in13.4 x 9.8 in10 """,2425.0,upcoming
6,500 - 800 eur,upcoming,"oct 13, 2022",sebastiao salgado,finarte,photographs,vintage gelatin silver print,7.9 x 12.1 in7.3 x 11.2 in,776.0,upcoming
7,500 - 800 eur,upcoming,"oct 13, 2022",osvaldo salas,finarte,photographs,gelatin silver print,15.9 x 19.8 in12.5 x 16.3 in60 in,776.0,upcoming
8,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.5 x 11.6 in9.6 x 9.6 in10 """,2425.0,upcoming
9,500 - 800 eur,upcoming,"oct 13, 2022",leo matiz,finarte,photographs,vintage gelatin silver print,10 x 8.1 in,776.0,upcoming
10,"1,500 - 2,500 eur",upcoming,"oct 13, 2022",leo matiz,finarte,photographs,digital print,"16.4 x 11.6 in9.9 x 9.8 in10 """,2425.0,upcoming
11,150 - 250 gbp,upcoming,"oct 12, 2022",manuel hernandez valdes,mctear's,british & international pictures,blueoil on canvas,"image size 58cm x 48cm, overall size 70cm x...",270.0,upcoming
12,"800 - 1,200 gbp",upcoming,"oct 12, 2022",amalia pica,roseberyas fine art auctioneers,day two: modern british & 20th century art,"wood, metal and glass",h67 x w37 x d6 cm (,1296.0,upcoming
13,525 - 675 usd,upcoming,"oct 09, 2022",c. pierre latour,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,20 x 24 1/2 inches / 50 x 63 cm,675.0,upcoming
14,"1,900 - 2,500 usd",upcoming,"oct 09, 2022",horacio renteria rocha,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 18 1/2 inches / 60 x 48 cm,2500.0,upcoming
15,425 - 525 usd,upcoming,"oct 09, 2022",henry r. roger,broward auction gallery,old antique & vintage paintings (oct 2022),oil on board,18 x 24 inches / 45 x 60 cm,525.0,upcoming
16,450 - 575 usd,upcoming,"oct 09, 2022",jacksin mesidor,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 20 inches / 60 x 50 cm,575.0,upcoming
17,525 - 675 usd,upcoming,"oct 09, 2022",rafael y antonio gonzalez,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 32 inches / 60 x 81 cm,675.0,upcoming
18,"850 - 1,050 usd",upcoming,"oct 09, 2022",nelson franco,broward auction gallery,old antique & vintage paintings (oct 2022),acrylic on paper,30 x 23 inches / 75 x 58 cm,1050.0,upcoming
19,340 - 425 usd,upcoming,"oct 09, 2022",gustavo moncayo,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,6 x 9 inches / 15 x 22 cm,425.0,upcoming
20,"1,500 - 2,000 usd",upcoming,"oct 09, 2022",orlando agudelo-botero,broward auction gallery,old antique & vintage paintings (oct 2022),mixed media on paper,24 x 33 inches / 60 x 83 cm,2000.0,upcoming
21,525 - 675 usd,upcoming,"oct 09, 2022",edgar barrios,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,24 x 20 inches / 60 x 50 cm,675.0,upcoming
22,475 - 600 usd,upcoming,"oct 09, 2022",antonio pedone,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas board,20 x 28 inches / 50 x 71 cm,600.0,upcoming
23,360 - 450 usd,upcoming,"oct 09, 2022",david s louis,broward auction gallery,old antique & vintage paintings (oct 2022),oil on canvas,8 x 10 inches / 20 x 25 cm,450.0,upcoming
24,"3,000 - 5,000 usd",upcoming,"oct 06, 2022",mavis pusey,swann auction galleries,african american art,color screenprint,"736x584 mm; 29x23 inches,",5000.0,upcoming
25,"20,000 - 25,000 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,lead,24 x 12 x 8in (61 x 30.5 x 20.3cm),25000.0,upcoming
26,"2,000 - 3,000 usd",upcoming,"oct 06, 2022",eva rubinstein,bonhams los angeles,animalia,gelatin silver print,sheet 10 x 8in (25.2 x 20.2cm) 9 x 6in ( 3.5...,3000.0,upcoming
27,"1,200 - 1,500 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,gold,9 x 6 x 8 in (24.1 x 15.3 x 21.6cm),1500.0,upcoming
28,"1,200 - 1,800 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,polished black onyx,9 x 4 x 4 in (22.9 x 10.8 x 10.8cm),1800.0,upcoming
29,"2,000 - 3,000 usd",upcoming,"oct 06, 2022",mavis pusey,swann auction galleries,african american art,color screenprint on wove paper,"730x572 mm; 28 3/4x22 1/2 inches,",3000.0,upcoming
30,"1,500 - 2,500 usd",upcoming,"oct 06, 2022",mavis pusey,swann auction galleries,african american art,color screenprint on arches,"234x336 mm; 9 1/4x13 1/4 inches,",2500.0,upcoming
31,"800 - 1,200 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,polished onyx,8 x 5 x 5in (21.6 x 12.7 x 12.7cm),1200.0,upcoming
32,"12,000 - 15,000 usd",upcoming,"oct 06, 2022",luis alberto quispe aparicio,bonhams los angeles,animalia,silvered bronze,26 x 17 x 14in (66 x 43.2 x 35.6cm),15000.0,upcoming
33,500 - 700 eur,upcoming,"oct 04, 2022",gaston simoes de fonseca,de veres art auctions,irish art,oil on panel,"12 x 22cm, 12 x 22cm, 4 3/4"" x 8 3 4 3/4""...",679.0,upcoming
34,100 eur,upcoming,"oct 01, 2022",eugen gomringer,leipzig auction house,auction 1,serigraph,46 x 35 cm,97.0,upcoming
35,400 - 600 usd,upcoming,"oct 01, 2022",seymour-etienne bottex,alex cooper auctioneers,"paintings, furniture, decorative arts, & fine rugs",oil on canvas,20 x 24 in,600.0,upcoming
36,600 - 800 usd,upcoming,"oct 01, 2022",jorge herrera,simpson galleries,fine art & antiques,oil on canvas,66.2 x 59.7 4'' x 57,800.0,upcoming
37,200 - 400 usd,upcoming,"oct 01, 2022",erica bohm,simpson galleries,fine art & antiques,photographs mounted on plexiglass,4'' x 12 1 4'' x 11 3,400.0,upcoming
38,300 - 500 usd,upcoming,"oct 01, 2022",elena cusi-wortham,simpson galleries,fine art & antiques,black painted wood,"height: 76"" width: 14"" depth: 22""",500.0,upcoming
39,50 - 100 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on board,12cm x 40cm,108.0,upcoming
40,300 - 500 usd,upcoming,"oct 01, 2022",jesus ortiz tajonar,simpson galleries,fine art & antiques,oil on canvas,4'' x 25 1 2'' x 28 1,500.0,upcoming
41,"2,000 - 4,000 usd",upcoming,"oct 01, 2022",francisco zuniga,simpson galleries,fine art & antiques,watercolor on paper,"25 1/2"" x 19 1/2"", framed 31 1/2"" x 26""",4000.0,upcoming
42,300 - 500 usd,upcoming,"oct 01, 2022",sergio bustamante,simpson galleries,fine art & antiques,brass plates,"ht "" height width: 19 depth: 33",500.0,upcoming
43,400 - 600 usd,upcoming,"oct 01, 2022",wifredo lam,simpson galleries,fine art & antiques,etching and aquatint printed in colors,plate 13'' x 15 1 4'' x 26,600.0,upcoming
44,300 - 500 usd,upcoming,"oct 01, 2022",gustavo arias murueta,simpson galleries,fine art & antiques,oil on artist's board,"15a x 17a, framed 28a x 30a",500.0,upcoming
45,400 - 600 usd,upcoming,"oct 01, 2022",alberoi bazile,alex cooper auctioneers,"paintings, furniture, decorative arts, & fine rugs",oil on board,"16 x 24 in66""",600.0,upcoming
46,40 - 60 usd,upcoming,"oct 01, 2022",jose pinal,casco bay auctions,twentieth century art & design,carved mahogany,"height 6 inches,",60.0,upcoming
47,40 - 60 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on board,7cm x 7cm,64.80000000000001,upcoming
48,300 - 500 usd,upcoming,"oct 01, 2022",byron galvez,simpson galleries,fine art & antiques,ink on paper,"13 '' x 8 '', framed 21 '' x 16",500.0,upcoming
49,400 - 600 usd,upcoming,"oct 01, 2022",francisco toledo,simpson galleries,fine art & antiques,etching on paper,4'' x 10 3 framed 16'' x 18,600.0,upcoming
50,"800 - 1,200 usd",upcoming,"oct 01, 2022",jose antonio gurtubay,simpson galleries,fine art & antiques,patinated bronze,height width: 23 depth: 13,1200.0,upcoming
51,100 - 150 gbp,upcoming,"oct 01, 2022",ramon torres mendez,the canterbury auction galleries,day one - two day fine art & antique sale,coloured lithographs,each 10 in x 13.5 in,162.0,upcoming
52,100 - 150 gbp,upcoming,"oct 01, 2022",ramon torres mendez,the canterbury auction galleries,day one - two day fine art & antique sale,coloured lithographs,each 9.5 in x 11.5 in,162.0,upcoming
53,"1,000 - 2,000 usd",upcoming,"oct 01, 2022",geraldo de barros,simpson galleries,fine art & antiques,"gelatin silver print, printed in",each 12'' x 15 3 4'' x 19 1,2000.0,upcoming
54,"2,000 - 3,000 usd",upcoming,"oct 01, 2022",francisco zuniga,simpson galleries,fine art & antiques,crayon and watercolor on paper,"19"" x 25"", framed 20 "" x 26""",3000.0,upcoming
55,"700 - 1,000 usd",upcoming,"oct 01, 2022",leonardo nierman,simpson galleries,fine art & antiques,acrylic on artist's board,"4'' x 23'', framed 21'' x 28",1000.0,upcoming
56,600 - 900 usd,upcoming,"oct 01, 2022",clarita brinkerhoff,simpson galleries,fine art & antiques,metal on a green crystal,"height: 22"" diameter: 9"" 3,187",900.0,upcoming
57,200 - 400 usd,upcoming,"oct 01, 2022",mario villa,simpson galleries,fine art & antiques,carved earthenware,"diameter: 11 """,400.0,upcoming
58,600 - 800 usd,upcoming,"oct 01, 2022",clarita brinkerhoff,simpson galleries,fine art & antiques,metal on a green crystal,"height: 19"" width: 23"" 9,622 depth: 4""",800.0,upcoming
59,100 - 150 gbp,upcoming,"oct 01, 2022",ramon torres mendez,the canterbury auction galleries,day one - two day fine art & antique sale,coloured lithographs,each 9.5 in x 11.5 in,162.0,upcoming
60,600 - 800 usd,upcoming,"oct 01, 2022",jose maria mijares,alex cooper auctioneers,"paintings, furniture, decorative arts, & fine rugs",acrylic on canvas,"48 x 36 in1972""",800.0,upcoming
61,200 - 400 usd,upcoming,"oct 01, 2022",ariane chantome,simpson galleries,fine art & antiques,acrylic on canvas,23 '' x 39,400.0,upcoming
62,300 - 500 usd,upcoming,"oct 01, 2022",rafael bonilla,simpson galleries,fine art & antiques,artist's board,framed 31'' x 19,500.0,upcoming
63,300 - 500 usd,upcoming,"oct 01, 2022",rafael bonilla,simpson galleries,fine art & antiques,artist's board,framed 33'' x 21 1,500.0,upcoming
64,600 - 800 usd,upcoming,"oct 01, 2022",sergio bustamante,simpson galleries,fine art & antiques,hand painted ceramic,"height: 10"" width: 10"" depth: 6""",800.0,upcoming
65,50 - 100 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on canvas,15cm x 30cm,108.0,upcoming
66,50 - 100 gbp,upcoming,"oct 01, 2022",david carson shaw,david duggleby ltd,affordable art,acrylic on canvas,19cm x 24cm,108.0,upcoming
67,20 - 30 eur,upcoming,"sep 30, 2022",horacio sapere,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",color lithograph,cm 60x44,29.099999999999998,upcoming
68,100 - 120 eur,upcoming,"sep 30, 2022",gina pellon,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",pastel on paper applied on canvas,cm 66x50,116.39999999999999,upcoming
69,100 - 120 eur,upcoming,"sep 30, 2022",humberto castro,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",ink on paper,cm 55x73,116.39999999999999,upcoming
70,300 - 400 eur,upcoming,"sep 30, 2022",antonia eiriz vazquez,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",mixed media on paper,cm 57x45,388.0,upcoming
71,220 - 250 eur,upcoming,"sep 30, 2022",pedro pablo oliva,"il ponte auction house, via pitteri","#fastauction of prints, multiples and modern art - session 2",mixed techniques on paper,ciascuna cm 25x17,242.5,upcoming
72,"25,000 - 35,000 usd",upcoming,"sep 30, 2022",pedro figari,christie's new york,latin american art,oil on board,ht 9 3/4 x 24 3/4 in. (25 x 63 cm.),35000.0,upcoming
73,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",wifredo lam,christie's new york,latin american art,gouache and wax crayon on paper laid down on paper,ht 12 x 9 1/2 in. (30.4 x 24 cm.),60000.0,upcoming
74,"400,000 - 600,000 usd",upcoming,"sep 30, 2022",wifredo lam,christie's new york,latin american art,oil on paper laid on canvas,ht 44 1/8 x 31 7/8 in. (112 x 81 cm.),600000.0,upcoming
75,"40,000 - 60,000 usd",upcoming,"sep 30, 2022",francisco narvaez,christie's new york,latin american art,bronze,height: 61 in. 39 in. (99.1 cm.)depth154...,60000.0,upcoming
