,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
807,"""Experiencia"" by Jerson Jimenez, 2021",127.0,40.0,Charity Auction of the Salvatorians, Oil on canvas ,2021,1,"Dorotheum, Vienna",2022-09-21,705.0, Jerson Jimenez,-420,Mutual Art,-
920,"Relief 8 by Julio Le Parc, 1970",104.14,41.0,Modern and Contemporary Art, screenprint on cardboard ,1970,52,"Dorotheum, Vienna",2022-09-20,5154.0, Julio Le Parc,-420,Mutual Art,-
921,"Portrait of a young woman by Raúl Anguiano, 1952",65.1,50.2,Travel & Exploration, oil on canvas ,1952,70,Bonhams,2022-09-20,1485.0, Raúl Anguiano,-420,Mutual Art,-
923,"Cenizas by Jorge Camacho, 1974",142.24,76.0,Pop & Contemporary Art, lithograph on Guarro paper ,1974,48,TGP Auction,2022-09-20,231.0, Jorge Camacho,-420,Mutual Art,-
925,"Panther by Jose Haro, Painted in 2021",264.16,151.0,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed Media on canvas ,2021,1,Ozbid Auctions,2022-09-20,549.0, Jose Haro,-420,Mutual Art,-
927,"Aloha by Debbie Reda, 2021",35.0,27.0,Cherry Picked - Modern & Contemporary Art Online, mixed media on canvas ,2021,1,Bonhams,2022-09-15,2599.0, Debbie Reda,-420,Mutual Art,-
928,"Untitled by Helmut Ditsch, 1988",177.8,85.0,Austrian Modern and Contemporary, oil on canvas on hardboard ,1988,34,"Dorotheum, Vienna",2022-09-20,12886.0, Helmut Ditsch,-420,Mutual Art,-
937,"Untitled by Raul Milián, 1960",24.0,20.0,Metro Online Auction: A Timed Auction, Mixed Media ,1960,62,Weschler's,2022-09-20,, Raul Milián,-420,Mutual Art,-
944,"Papillon by Jose Haro, dated 2020",254.0,130.0,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed Media on canvas ,2020,2,Ozbid Auctions,2022-09-20,515.0, Jose Haro,-420,Mutual Art,-
945,"Butterflies by Jose Haro, Painted in 2022",132.08,67.0,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media ,2022,0,Ozbid Auctions,2022-09-20,721.0, Jose Haro,-420,Mutual Art,-
947,"Le cercle by Hervé Télémaque, 1974",193.04,56.0,Pop & Contemporary Art, lithograph on wove paper ,1974,48,TGP Auction,2022-09-20,410.0, Hervé Télémaque,-420,Mutual Art,-
949,"Toward the City' by Guillermo Trujillo, 1961",20.25,31.5,Metro Online Auction: A Timed Auction, Oil on Canvas ,1961,61,Weschler's,2022-09-20,, Guillermo Trujillo,-420,Mutual Art,-
952,"Butterflies by Jose Haro, Painted in 2022",124.46000000000001,76.0,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media ,2022,0,Ozbid Auctions,2022-09-20,378.0, Jose Haro,-420,Mutual Art,-
953,"Papillon by Jose Haro, Painted in 2021",254.0,130.0,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media ,2021,1,Ozbid Auctions,2022-09-20,961.0, Jose Haro,-420,Mutual Art,-
955,"Sunflower Shower by Jose Haro, Painted in 2022",279.4,80.0,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media on canvas ,2022,0,Ozbid Auctions,2022-09-20,378.0, Jose Haro,-420,Mutual Art,-
958,"Large abstract triptych oil on canvas by Irma Palacios Flores, 1999",48.25,96.5,"GREENWICH, CT ESTATE AUCTION, ANTIQUES, DECOR, FINE-ART", O/C ,1999,23,Westport Auction,2022-09-19,, Irma Palacios Flores,-420,Mutual Art,-
979,"Mujer cabalgante by Carlos Orozco Romero, 1973",72.39,20.5,Morton Saturdays. Opportunities 1156, Ink pencil drawing on paper ,1973,49,"Morton Auctions, Monte Athos",2022-09-17,697.0, Carlos Orozco Romero,-420,Mutual Art,-
982,"Metasistema_1 by Daniel Evo, 2018",254.0,140.0,Morton Saturdays. Opportunities 1156," Acrylic, oil, enamel, adhesive tape, vinyl and paper collage on canvas ",2018,4,"Morton Auctions, Monte Athos",2022-09-17,274.0, Daniel Evo,-420,Mutual Art,-
996,"A nude and a figure strumming an instrument by Hector Ayala, dated 1974",47.375,66.75,September Exceptional Estates Auction, painting ,1974,48,Blackwell Auctions,2022-09-17,, Hector Ayala,-420,Mutual Art,-
1007,"Vibration by Jesus-Rafael Soto, 1974",98.5,77.5,LIVE STREAM AUCTION, Screenprint ,1974,48,SBI Art Auction,2022-09-17,415.0, Jesus-Rafael Soto,-420,Mutual Art,-
1008,"CARONI by Jesus-Rafael Soto, 1971",41.9,41.9,LIVE STREAM AUCTION, Screenprint ,1971,51,SBI Art Auction,2022-09-17,332.0, Jesus-Rafael Soto,-420,Mutual Art,-
1011,"Pequeña Dama Personaje Rojo by Manuel Chong Neto, 1983",20.0,24.0,Capital Collections Auction, Oil on canvas ,1983,39,Weschler's,2022-09-16,, Manuel Chong Neto,-420,Mutual Art,-
