,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
807,"""experiencia""",127.0,40.0,charity auction of the salvatorians, oil on canvas ,2021,1,"dorotheum, vienna",2022-09-21,705.0, jerson jimenez,2.0,mutual art,-
920,relief 8,104.14,41.0,modern and contemporary art, screenprint on cardboard ,1970,52,"dorotheum, vienna",2022-09-20,5154.0, julio le parc,1.2190449159157029,mutual art,-
921,portrait of a young woman,65.1,50.2,travel & exploration, oil on canvas ,1952,70,bonhams,2022-09-20,1485.0, raúl anguiano,1.0199876365134968,mutual art,-
923,cenizas,142.24,76.0,pop & contemporary art, lithograph on guarro paper ,1974,48,tgp auction,2022-09-20,231.0, jorge camacho,0.6,mutual art,-
925,panther,264.16,151.0,huge modern art auction - live online, mixed media on canvas ,2021,1,ozbid auctions,2022-09-20,549.0, jose haro,0.4,mutual art,-
927,aloha,35.0,27.0,cherry picked - modern & contemporary art online, mixed media on canvas ,2021,1,bonhams,2022-09-15,2599.0, debbie reda,1.3600209314495029,mutual art,-
928,untitled,177.8,85.0,austrian modern and contemporary, oil on canvas on hardboard ,1988,34,"dorotheum, vienna",2022-09-20,12886.0, helmut ditsch,0.9142865251648745,mutual art,-
937,untitled,24.0,20.0,metro online auction: a timed auction, mixed media ,1960,62,weschler's,2022-09-20,, raul milián,,mutual art,-
944,papillon,254.0,130.0,huge modern art auction - live online, mixed media on canvas ,2020,2,ozbid auctions,2022-09-20,515.0, jose haro,0.30000291264963735,mutual art,-
945,butterflies,132.08,67.0,huge modern art auction - live online, mixed media ,2022,0,ozbid auctions,2022-09-20,721.0, jose haro,1.4,mutual art,-
947,le cercle,193.04,56.0,pop & contemporary art, lithograph on wove paper ,1974,48,tgp auction,2022-09-20,410.0, hervé télémaque,0.6666666666666666,mutual art,-
949,toward the city',20.25,31.5,metro online auction: a timed auction, oil on canvas ,1961,61,weschler's,2022-09-20,, guillermo trujillo,,mutual art,-
952,butterflies,124.46000000000001,76.0,huge modern art auction - live online, mixed media ,2022,0,ozbid auctions,2022-09-20,378.0, jose haro,0.6111066203217203,mutual art,-
953,papillon,254.0,130.0,huge modern art auction - live online, mixed media ,2021,1,ozbid auctions,2022-09-20,961.0, jose haro,0.7000036420584915,mutual art,-
955,sunflower shower,279.4,80.0,huge modern art auction - live online, mixed media on canvas ,2022,0,ozbid auctions,2022-09-20,378.0, jose haro,0.4782691212753843,mutual art,-
958,large abstract triptych oil on canvas,48.25,96.5,"greenwich, ct estate auction, antiques, decor, fine-art", o/c ,1999,23,westport auction,2022-09-19,, irma palacios flores,,mutual art,-
979,mujer cabalgante,72.39,20.5,morton saturdays. opportunities 1156, ink pencil drawing on paper ,1973,49,"morton auctions, monte athos",2022-09-17,697.0, carlos orozco romero,0.7000100431856986,mutual art,-
