title,height,length,art_type,date_text,age,house,fecha,price,author,performance,source,country,list_technique,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove
"""Experiencia"" by Jerson Jimenez, 2021",127.0,40.0,Charity Auction of the Salvatorians,2021,1,"Dorotheum, Vienna",2022-09-21,705.0, Jerson Jimenez,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Relief 8 by Julio Le Parc, 1970",104.14,41.0,Modern and Contemporary Art,1970,52,"Dorotheum, Vienna",2022-09-20,5154.0, Julio Le Parc,-420,Mutual Art,-,"['screenprint', 'on', 'cardboard']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Portrait of a young woman by Raúl Anguiano, 1952",65.1,50.2,Travel & Exploration,1952,70,Bonhams,2022-09-20,1485.0, Raúl Anguiano,-420,Mutual Art,-,"['oil', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cenizas by Jorge Camacho, 1974",142.24,76.0,Pop & Contemporary Art,1974,48,TGP Auction,2022-09-20,231.0, Jorge Camacho,-420,Mutual Art,-,"['lithograph', 'on', 'guarro', 'paper']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panther by Jose Haro, Painted in 2021",264.16,151.0,HUGE MODERN ART AUCTION - LIVE ONLINE,2021,1,Ozbid Auctions,2022-09-20,549.0, Jose Haro,-420,Mutual Art,-,"['mixed', 'media', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aloha by Debbie Reda, 2021",35.0,27.0,Cherry Picked - Modern & Contemporary Art Online,2021,1,Bonhams,2022-09-15,2599.0, Debbie Reda,-420,Mutual Art,-,"['mixed', 'media', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Untitled by Helmut Ditsch, 1988",177.8,85.0,Austrian Modern and Contemporary,1988,34,"Dorotheum, Vienna",2022-09-20,12886.0, Helmut Ditsch,-420,Mutual Art,-,"['oil', 'on', 'canvas', 'on', 'hardboard']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Untitled by Raul Milián, 1960",24.0,20.0,Metro Online Auction: A Timed Auction,1960,62,Weschler's,2022-09-20,, Raul Milián,-420,Mutual Art,-,"['mixed', 'media']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papillon by Jose Haro, dated 2020",254.0,130.0,HUGE MODERN ART AUCTION - LIVE ONLINE,2020,2,Ozbid Auctions,2022-09-20,515.0, Jose Haro,-420,Mutual Art,-,"['mixed', 'media', 'on', 'canvas']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butterflies by Jose Haro, Painted in 2022",132.08,67.0,HUGE MODERN ART AUCTION - LIVE ONLINE,2022,0,Ozbid Auctions,2022-09-20,721.0, Jose Haro,-420,Mutual Art,-,"['mixed', 'media']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
