title,height,length,art_type,date_text,age,house,fecha,price,author,performance,acrylic,aquatint,arches,black,board,bronze,brown,canvas,cardboard,charcoal,color,colors,colours,crayon,down,etching,gelatin,gouache,graphite,guarro,handmade,ink,laid,lithograph,lithographs,masonite,media,metal,mixed,mixografía,mixograph,mounted,nylon,oil,painted,panel,paper,pastel,patina,pencil,plexiglas,plexiglass,print,printed,rice,rods,sand,screenprint,silkscreen,silver,tempera,watercolor,wood,wove,year,month,ln_precio,ln_height,ln_width,age_2,age_3,age_4
"""experiencia""",127.0,40.0,charity auction of the salvatorians,2021,1,"dorotheum, vienna",2022-09-21,705.0, jerson jimenez,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6.558197802812269,4.844187086458591,3.6888794541139363,1,1,1
relief 8,104.14,41.0,modern and contemporary art,1970,52,"dorotheum, vienna",2022-09-20,5154.0, julio le parc,1.2190449159157029,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,9,8.54752839121231,4.645736147734753,3.713572066704308,2704,140608,7311616
portrait of a young woman,65.1,50.2,travel & exploration,1952,70,bonhams,2022-09-20,1485.0, raúl anguiano,1.0199876365134968,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,7.3031700512368,4.175924549214524,3.9160150266976834,4900,343000,24010000
cenizas,142.24,76.0,pop & contemporary art,1974,48,tgp auction,2022-09-20,231.0, jorge camacho,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,5.442417710521793,4.957515771765594,4.330733340286331,2304,110592,5308416
panther,264.16,151.0,huge modern art auction - live online,2021,1,ozbid auctions,2022-09-20,549.0, jose haro,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6.3080984415095305,5.576554980171818,5.017279836814924,1,1,1
aloha,35.0,27.0,cherry picked - modern & contemporary art online,2021,1,bonhams,2022-09-15,2599.0, debbie reda,1.3600209314495029,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,7.8628820346414905,3.5553480614894135,3.295836866004329,1,1,1
untitled,177.8,85.0,austrian modern and contemporary,1988,34,"dorotheum, vienna",2022-09-20,12886.0, helmut ditsch,0.9142865251648744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,9.463896729698588,5.180659323079804,4.442651256490317,1156,39304,1336336
papillon,254.0,130.0,huge modern art auction - live online,2020,2,ozbid auctions,2022-09-20,515.0, jose haro,0.3000029126496373,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6.244166900663736,5.537334267018537,4.867534450455582,4,8,16
butterflies,132.08,67.0,huge modern art auction - live online,2022,0,ozbid auctions,2022-09-20,721.0, jose haro,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6.580639137284949,4.883407799611873,4.204692619390966,0,0,0
le cercle,193.04,56.0,pop & contemporary art,1974,48,tgp auction,2022-09-20,410.0, hervé télémaque,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,9,6.016157159698354,5.262897421316776,4.02535169073515,2304,110592,5308416
butterflies,124.46,76.0,huge modern art auction - live online,2022,0,ozbid auctions,2022-09-20,378.0, jose haro,0.6111066203217203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,5.934894195619588,4.823984379141072,4.330733340286331,0,0,0
papillon,254.0,130.0,huge modern art auction - live online,2021,1,ozbid auctions,2022-09-20,961.0, jose haro,0.7000036420584915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6.8679744089702925,5.537334267018537,4.867534450455582,1,1,1
sunflower shower,279.4,80.0,huge modern art auction - live online,2022,0,ozbid auctions,2022-09-20,378.0, jose haro,0.4782691212753843,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,5.934894195619588,5.632644446822861,4.382026634673881,0,0,0
mujer cabalgante,72.39,20.5,morton saturdays. opportunities 1156,1973,49,"morton auctions, monte athos",2022-09-17,697.0, carlos orozco romero,0.7000100431856986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6.546785410760524,4.28206816830505,3.0204248861443626,2401,117649,5764801
metasistema_1,254.0,140.0,morton saturdays. opportunities 1156,2018,4,"morton auctions, monte athos",2022-09-17,274.0, daniel evo,0.7857757384571264,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,5.6131281063880705,5.537334267018537,4.941642422609304,16,64,256
vibration,98.5,77.5,live stream auction,1974,48,sbi art auction,2022-09-17,415.0, jesus-rafael soto,0.7666728246813228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,9,6.028278520230698,4.590056548178043,4.350277936359301,2304,110592,5308416
caroni,41.9,41.9,live stream auction,1971,51,sbi art auction,2022-09-17,332.0, jesus-rafael soto,0.6133382597450583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,9,5.805134968916488,3.735285826928092,3.735285826928092,2601,132651,6765201
untitled,63.5,20.0,french furniture auction. includes decorative arts,1968,54,"morton auctions, cerro de mayka",2022-09-03,149.0, raúl anguiano,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,5.003946305945459,4.151039905898646,2.995732273553991,2916,157464,8503056
ojo es ojo para el iii festival de cine en bogotá,199.39,56.0,engravings and multiple,1986,36,bogotauctions,2022-08-25,68.0, enrique grau,0.7501378929950359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,4.219507705176107,5.295262705818808,4.02535169073515,1296,46656,1679616
de la carpeta una temporada en el infierno,119.38,36.0,engravings and multiple,1978,44,bogotauctions,2022-08-25,728.0, roberto matta,1.0666666666666669,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,6.590301048196686,4.782311682740504,3.58351893845611,1936,85184,3748096
el espejo,189.23,54.0,engravings and multiple,1990,32,bogotauctions,2022-08-25,455.0, enrique grau,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,6.12029741895095,5.242963206415959,3.9889840465642745,1024,32768,1048576
boca del río,243.84,130.5,modern and contemporary art,1957,65,"morton auctions, monte athos",2022-08-25,12032.0, raúl anguiano,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,9.39532504618962,5.496512272498282,4.871373226762748,4225,274625,17850625
mujer fumando,410.0,335.0,summer edit: editions and works on paper,1965,57,forum auctions london,2022-08-18,1795.0, fernando botero,8.572110792741165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2022,8,7.492760300922379,6.016157159698354,5.814130531825066,3249,185193,10556001
