title,height,length,art_type,medium_text,date_text,age,house,sale_date,price,author,performance,source,country
CAMINADORA VIAJERA,50,52.6,Sculpture,bronze with gold-brown patina,,,Sotheby's,1969-12-31 18:00:40.857,45000.0,abigail varela,0.5,artsy,venezuela
i) Untitled; ii) Untitled; iii) Untitled,33.0,24.8,Work on Paper,gouache and graphite on paper; watercolor and ink on paper; charcoal on paper,1960.0,33.0,Christie's,1969-12-31 18:00:44.397,4000.0,agustin cardenas,0.33,artsy,cuba
Untitled,56.0,44.0,Print,Print,,,Artcuria,1969-12-31 18:00:43.271,226.0,agustin cardenas,-0.22,artsy,cuba
Study for a sculpture,74.5,54.5,Work on Paper,Pastel,1970.0,43.0,Artcuria,1969-12-31 18:00:43.271,1810.0,agustin cardenas,1.4,artsy,cuba
UNTITLED,29,56,Sculpture,pink Carrara marble,,,Sotheby's,1969-12-31 18:00:43.059,43750.0,agustin cardenas,0.59,artsy,cuba
Sans titre,49.0,63.0,Work on Paper,ink on paper,1975.0,48.0,Pias,1969-12-31 18:00:42.821,3655.0,agustin cardenas,0.35,artsy,cuba
"LA MAINnSIGNED WITH THE ARTIST'S INITIALS, NUMBERED 3/6 AND STAMPED WITH THE FOUNDRY MARK TESCONI BRONZE. EXECUTED CIRCA 1965, THIS WORK IS NUMBER 3 FROM AN EDITION OF 6.",3 5/16,31 7/8 ,,,,,Sotheby's,1969-12-31 18:00:42.710,26893.28,agustin cardenas,1.0,artsy,cuba
Petite stèle,24.0,18.0,Sculpture,sculpted wood,1975.0,48.0,Ferri et Associe,1969-12-31 18:00:42.705,5120.0,agustin cardenas,0.37,artsy,cuba
UNTITLED,13,13,,,,,Sotheby's,1969-12-31 18:00:42.696,18750.0,agustin cardenas,0.07,artsy,cuba
RADAR DE POÈTE,16.5,16.5,,,,,Sotheby's,1969-12-31 18:00:42.549,13452.37,agustin cardenas,1.0,artsy,cuba
UNTITLED,10,10.5,,,,,Sotheby's,1969-12-31 18:00:42.549,15133.92,agustin cardenas,1.25,artsy,cuba
Radar de Po�te,38.0,16.5,,sculpture,1976.0,49.0,Sotheby's,1969-12-31 18:00:42.548,13356.0,agustin cardenas,1.0,artsy,cuba
Sans titre,58.0,34.0,Work on Paper,"charcoal, gouache and watercolor on paper",1969.0,42.0,Cornette de Saint Cy,1969-12-31 18:00:42.530,1883.0,agustin cardenas,0.67,artsy,cuba
Sans titre,45.0,65.0,Work on Paper,gouache on paper,1979.0,52.0,Cornette de Saint Cy,1969-12-31 18:00:42.530,1594.0,agustin cardenas,0.42,artsy,cuba
Sans titre,116.0,24.0,Sculpture,white marble,1972.0,45.0,Christie's,1969-12-31 18:00:42.529,45155.0,agustin cardenas,0.33,artsy,cuba
Composition,49.0,65.0,Work on Paper,india ink on paper,1975.0,48.0,Cornette de Saint Cy,1969-12-31 18:00:42.465,1139.0,agustin cardenas,-0.6,artsy,cuba
Composition,35.0,26.01,Painting,mixed media on board,1974.0,47.0,Cornette de Saint Cy,1969-12-31 18:00:42.465,2507.0,agustin cardenas,1.2,artsy,cuba
Composition,61.01,49.0,Work on Paper,mixed media on paper,1980.0,53.0,Ade,1969-12-31 18:00:42.341,2176.0,agustin cardenas,-0.2,artsy,cuba
Woman with an amphora,23.5,16.0,Work on Paper,pen on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,220.0,agustin cardenas,-0.71,artsy,cuba
"1),3),4) Untitled; 2) Woman",19.99,14.0,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,800.0,agustin cardenas,-0.54,artsy,cuba
Woman,26.49,19.99,Work on Paper,pencil on paper,,,Fine Art Auctions Miam,1969-12-31 18:00:42.337,360.0,agustin cardenas,-0.6,artsy,cuba
