,Unnamed: 0,precio_estimado,precio_venta,fecha,autor,casa_subasta,tipo,tecnica,dimensiones,fecha_creacion,titulo,precio_ajustado,is_inch,height,width
807,862, 700 EUR , 700 EUR ,2022-09-21, Jerson Jimenez,"Dorotheum, Vienna",Charity Auction of the Salvatorians, Oil on canvas , 50 x 40 cm , 2021 ,"""Experiencia"" by Jerson Jimenez, 2021",705 USD,0,50.0,40.0
920,975," 4,000 - 4,400 EUR "," 5,120 EUR ",2022-09-20, Julio Le Parc,"Dorotheum, Vienna",Modern and Contemporary Art, screenprint on cardboard ," 41 x 41 x 5 cm, 8, 1970, ", 1970 ,"Relief 8 by Julio Le Parc, 1970","5,154 USD",0,41.0,41.0
921,976," 1,000 - 1,500 GBP "," 1,275 GBP ",2022-09-20, Raúl Anguiano,Bonhams,Travel & Exploration, oil on canvas , 65.1 x 50.2cm (25 x 19.75in) , 1952 ,"Portrait of a young woman by Raúl Anguiano, 1952","1,485 USD",1,65.1,50.2
922,977," 2,000 - 3,000 AUD "," 1,200 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media , 94cm x 153cm ,,Macaw by Jose Haro,824 USD,0,94.0,153.0
923,978, 350 - 400 CHF , 225 CHF* ,2022-09-20, Jorge Camacho,TGP Auction,Pop & Contemporary Art, lithograph on Guarro paper , 56 x 76 cm 56 x 76 cm 10 H. 10 H. , 1974 ,"Cenizas by Jorge Camacho, 1974",231 USD,0,56.0,76.0
925,980," 1,500 - 2,500 AUD ", 800 AUD* ,2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed Media on canvas , 104cm x 151cm , Painted in 2021 ,"Panther by Jose Haro, Painted in 2021",549 USD,0,104.0,151.0
927,982," 10,000 - 20,000 HKD "," 20,400 HKD ",2022-09-15, Debbie Reda,Bonhams,Cherry Picked - Modern & Contemporary Art Online, mixed media on canvas , 35 x 27 cm (13.75 x 10 in) , 2021 ,"Aloha by Debbie Reda, 2021","2,599 USD",1,35.0,27.0
928,983," 10,000 - 18,000 EUR "," 12,800 EUR ",2022-09-20, Helmut Ditsch,"Dorotheum, Vienna",Austrian Modern and Contemporary, oil on canvas on hardboard ," ht 70 x 85 cm, ", 1988 ,"Untitled by Helmut Ditsch, 1988","12,886 USD",0,70.0,85.0
930,985," 1,500 - 2,500 AUD ", 900 AUD* ,2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed media , 100cm x 100cm ,,Pug - Magenta by Jose Haro,618 USD,0,100.0,100.0
933,988," 2,000 - 3,000 AUD "," 1,600 AUD* ",2022-09-20, Jose Haro,Ozbid Auctions,HUGE MODERN ART AUCTION - LIVE ONLINE, Mixed Media , tall 120cm x 90cm ,,The Major by Jose Haro,"1,098 USD",1,120.0,90.0
