artista,nombre_obra,tecnica,anio,precio,altura,ancho,source
Lucía Valencia,"Serie Joyas de Nueva York ""Sárdica""",Óleo sobre Tela,2020,60000,62,62,madart
Lucía Valencia,"Serie Joyas de Nueva York ""Crisólito""",Óleo sobre Tela,2020,60000,62,62,madart
Mocka,Serie Insectos Imaginarios,Mixta sobre Papel,2020,13500,70,55,madart
Pacco Soriano,Mozart Seduciendo una Copa de Vino,Óleo sobre Lienzo,2021,55500,145,110,madart
TOGA,Sin Título,Carbón Sobre Papel,2020,5800,35,30,madart
Guillermo Rito,Sin Título,Oleo y Hoja de Oro sobre Tela,2020,56300,120,90,madart
Guillermo Rito,Sin Título,Oleo y Hoja de Oro sobre Tela,2020,56300,120,90,madart
Sebastián Cánovas,Serie de Estudios Urbanos,Mixta sobre Tela,2020,12200,50,50,madart
Sebastián Cánovas,Serie de Estudios Urbanos,Mixta sobre Tela,2020,12200,50,50,madart
Carlos Bazán,Tu y Yo Volando Alto,Mixta sobre Tela,2020,44000,120,100,madart
Carlos Bazán,Sin Título,Mixta sobre Tela,2020,33600,115,80,madart
Giselle Fenig,La Grandiosa,Mixta sobre Tela,2020,55700,150,120,madart
Edgar Jahir Trujillo,La Protección,Mixta sobre Tela,2020,28400,70,100,madart
Giselle Fenig,Dividida,Mixta sobre Tela,2020,51000,135,125,madart
Carhum,Se Colo por Error en un Abstracto,Mixta sobre Tela,2020,46400,100,190,madart
Lydia Hierro,Curvas,Encausto sobre Tela,2020,28000,100,100,madart
Pablo Olivera,Fleco,Terracota,2020,7000,15,14,madart
Pablo Olivera,Cabeza 4,Terracota,2020,5800,15,16,madart
Pablo Olivera,Cabeza 3,Terracota,2020,5800,14,12,madart
Pablo Olivera,Cabeza 2,Terracota,2020,7000,19,14,madart
Pedro Coronel,Piedra Solar,Serigrafía,1970,15660,95,70,madart
Pedro Coronel,Dualidad,Serigrafía,1975,9300,95.5,70.4,madart
Federico Rivero,Anhelo Infantil,Bronce,2020,55700,41,19,madart
Federico Rivero,Creciendo,Bronce,2020,34800,44,15,madart
Federico Rivero,El Juego de la Vida,Bronce,2020,34800,30,34,madart
Jazzamoart,Trío en la Playa,Óleo sobre Tela,2020,15000,120,150,madart
Rosendo Vega,Selva Jade,Óleo sobre Lienzo,2020,63800,165,120,madart
Rodolfo Camacho,Sin Título,Encausto sobre Madera,2020,34800,60,60,madart
Rodolfo Camacho,Sin Título,Encausto sobre Madera,2020,34800,60,60,madart
Sebastián Cánovas,Estudios,Mixta sobre Papel,2020,10500,40,40,madart
Edison Blas,Escena de Circo,Óleo sobre Tela,2020,60300,100,200,madart
Yuri Zatarain,Estudio para el Amante,"Cemento, Mixta",2020,220000,223,90,madart
Yuri Zatarain,Estudio para el Amante,"Cemento, Lapiz",2020,220000,222,120,madart
Yuri Zatarain,Estudio para el Amante,"Cemento, Lapiz",2020,75000,162,45,madart
Yuri Zatarain,Estudio para el Amante,Acrílico y Cemento,2020,220000,200,120,madart
Edgar Jahir Trujillo,Un Nuevo Resplandor,Mixta sobre Tela,2020,101500,100,250,madart
Edgar Jahir Trujillo,Micromundos,Mixta sobre Tela,2020,100500,100,250,madart
Edgar Jahir Trujillo,Infinito,Mixta sobre Tela,2020,48700,200,60,madart
Lydia Hierro,Rayo de Luz,Encausto sobre Tela,2020,33700,130,130,madart
Lydia Hierro,Entre Lineas,Encausto sobre Tela,2020,33700,120,140,madart
Oswaldo Ramírez,Bañistas,Mixta sobre Tela,2020,121800,145,120,madart
